       t                    x1                   y1                  x2               y2                 E         I      
           0.18900000E+02          -0.11753132E+03          -0.64091086E+01           0.10405173E+03           0.79379141E+01           0.37897445E+02           0.93557968E+00
           0.19000000E+02          -0.11818373E+03          -0.64499295E+01           0.10462583E+03           0.79766866E+01           0.37897445E+02           0.93557968E+00
           0.19100000E+02          -0.11883613E+03          -0.64907504E+01           0.10519993E+03           0.80154591E+01           0.37897445E+02           0.93557968E+00
           0.19200000E+02          -0.11948854E+03          -0.65315712E+01           0.10577403E+03           0.80542314E+01           0.37897445E+02           0.93557968E+00
           0.19300000E+02          -0.12014095E+03          -0.65723919E+01           0.10634813E+03           0.80930037E+01           0.37897445E+02           0.93557968E+00
           0.19400000E+02          -0.12079336E+03          -0.66132126E+01           0.10692222E+03           0.81317759E+01           0.37897445E+02           0.93557968E+00
           0.19500000E+02          -0.12144576E+03          -0.66540332E+01           0.10749632E+03           0.81705480E+01           0.37897445E+02           0.93557968E+00
           0.19600000E+02          -0.12209816E+03          -0.66948538E+01           0.10807041E+03           0.82093201E+01           0.37897445E+02           0.93557968E+00
           0.19700000E+02          -0.12275057E+03          -0.67356744E+01           0.10864450E+03           0.82480921E+01           0.37897445E+02           0.93557968E+00
           0.19800000E+02          -0.12340297E+03          -0.67764949E+01           0.10921860E+03           0.82868640E+01           0.37897445E+02           0.93557968E+00
           0.19900000E+02          -0.12405537E+03          -0.68173153E+01           0.10979269E+03           0.83256358E+01           0.37897445E+02           0.93557968E+00
           0.20000000E+02          -0.12470777E+03          -0.68581357E+01           0.11036678E+03           0.83644075E+01           0.37897445E+02           0.93557968E+00
           0.20100000E+02          -0.12536017E+03          -0.68989561E+01           0.11094087E+03           0.84031792E+01           0.37897445E+02           0.93557968E+00
           0.20200000E+02          -0.12601257E+03          -0.69397764E+01           0.11151495E+03           0.84419508E+01           0.37897445E+02           0.93557968E+00
           0.20300000E+02          -0.12666497E+03          -0.69805967E+01           0.11208904E+03           0.84807223E+01           0.37897445E+02           0.93557968E+00
           0.20400000E+02          -0.12731737E+03          -0.70214169E+01           0.11266313E+03           0.85194938E+01           0.37897445E+02           0.93557968E+00
           0.20500000E+02          -0.12796977E+03          -0.70622371E+01           0.11323721E+03           0.85582652E+01           0.37897445E+02           0.93557968E+00
           0.20600000E+02          -0.12862216E+03          -0.71030572E+01           0.11381130E+03           0.85970365E+01           0.37897445E+02           0.93557968E+00
           0.20700000E+02          -0.12927456E+03          -0.71438773E+01           0.11438538E+03           0.86358077E+01           0.37897445E+02           0.93557968E+00
           0.20800000E+02          -0.12992695E+03          -0.71846973E+01           0.11495946E+03           0.86745789E+01           0.37897445E+02           0.93557968E+00
           0.20900000E+02          -0.13057935E+03          -0.72255173E+01           0.11553354E+03           0.87133500E+01           0.37897445E+02           0.93557968E+00
           0.21000000E+02          -0.13123174E+03          -0.72663373E+01           0.11610762E+03           0.87521211E+01           0.37897445E+02           0.93557968E+00
